timeStamp,service,type,success,responseTime,bytes
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
1546447228985,/,GET,1,118.959903717,1270
